,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
10,2024-05-13 16:37:21.952494,0.07231876999139786,-0.2652212083339691,0.9614716172218323,147.7761311600181,171.16085630223904,0.0,70,147,191,150,-5.0376062,-6.093231,1.2601588,536,317,172,107,0,-146.85827256492573,-5.617641101402319,481.1058518550616,151.7396375003799,170.67208811977585,0.0,143.81262481965635,171.64962448470226,0.0,1,1
11,2024-05-13 16:37:22.061134,0.07231876999139786,-0.262538880109787,0.9614716172218323,147.6904865955123,170.14664581782483,0.0,70,147,191,150,-5.2233877,-5.7984734,1.3710139,536,317,172,107,0,-146.77506355794026,-5.298496927552997,481.1382323757506,151.6539929358741,169.65787763536161,0.0,143.72698025515055,170.63541400028802,0.0,1,1
12,2024-05-13 16:37:22.173566,0.07176270335912704,-0.2620530128479004,0.9629501700401306,147.95266136072416,169.66551142121222,0.0,70,147,191,150,-4.867426,-6.0736246,0.9513428,536,317,172,107,0,-146.70557068266604,-5.341489895336873,481.1615567569753,151.91616770108595,169.176743238749,0.0,143.9891550203624,170.1542796036754,0.0,1,1
13,2024-05-13 16:37:22.292444,0.06881627440452576,-0.25995582342147827,0.9629855751991272,149.45021539259358,168.47276209306347,0.0,70,147,190,150,-5.0859957,-6.8836417,0.79989314,536,317,172,107,0,-146.7290228169928,-5.479351168102135,481.1534051484519,153.41372173295537,167.98399391060028,0.0,145.48670905223182,168.96153027552668,0.0,1,1
14,2024-05-13 16:37:22.397778,0.06881627440452576,-0.25947827100753784,0.9638522863388062,149.50884431994547,168.27048538009228,0.0,70,147,190,150,-5.027752,-6.0397997,0.95863605,536,317,172,107,0,-146.7563248216098,-5.324898851687611,481.1476851292577,153.47235066030723,167.7817171976291,0.0,145.54533797958368,168.7592535625555,0.0,1,1
15,2024-05-13 16:37:22.514738,0.06881627440452576,-0.25950419902801514,0.9634990692138672,149.4670926890762,168.38704226767277,0.0,69,148,190,150,-5.3518257,-6.4353447,0.8853786,536,317,172,107,0,-146.7277771151758,-5.271076654227578,481.1562304522786,153.43059902943796,167.89827408520958,0.0,145.5035863487144,168.875810450136,0.0,1,1
16,2024-05-13 16:37:22.628616,0.0704370066523552,-0.25950419902801514,0.9634990692138672,148.99164684628732,168.2013419975484,0.0,69,148,190,150,-5.3346963,-5.960059,0.8543594,536,317,172,107,0,-147.0542834075043,-5.4294549773247756,481.0547882766667,152.95515318664908,167.7125738150852,0.0,145.02814050592553,168.6901101800116,0.0,1,1
17,2024-05-13 16:37:22.739969,0.0704370066523552,-0.25950419902801514,0.9634990692138672,148.95450214897653,168.40059318909096,0.0,70,150,190,153,-5.372341,-6.6325026,0.5943577,535,317,172,107,0,-147.0178487248477,-5.232819623576672,481.0645004789725,152.91800848933832,167.91182500662774,0.0,144.99099580861477,168.88936137155414,0.0,0,0
18,2024-05-13 16:37:22.849526,0.07265732437372208,-0.2654547691345215,0.9612889885902405,148.2966576635348,171.79974378858714,0.0,69,153,190,157,-7.2913413,-10.364291,1.1406362,535,316,172,107,0,-147.5401259633379,-5.066101310481705,480.9075573377378,152.2601640038966,171.31097560612395,0.0,144.33315132317304,172.28851197105035,0.0,0,0
19,2024-05-13 16:37:22.959334,0.07265732437372208,-0.29682761430740356,0.9526352882385254,147.60709643004833,188.70079882348517,0.0,70,150,190,152,-5.5541034,-5.527235,1.1025751,535,317,172,107,0,-147.18859991442304,-5.2410323969431225,481.0104351405563,151.5706027704101,188.21203064102195,0.0,143.64359008968654,189.1895670059484,0.0,1,1
20,2024-05-13 16:37:23.068981,0.07265732437372208,-0.29682761430740356,0.9526352882385254,147.62676169491374,189.0560574870563,0.0,69,148,190,151,-5.488026,-6.062587,1.0529077,535,318,172,107,0,-147.20815037115338,-4.885304706675283,481.00892985142264,151.5902680352755,188.56728930459312,0.0,143.66325535455195,189.54482566951953,0.0,1,1
21,2024-05-13 16:37:23.176791,0.06617717444896698,-0.29682761430740356,0.9526352882385254,150.92536121408637,189.4100174448086,0.0,68,149,190,151,-5.535439,-6.3880825,1.0111306,535,318,172,107,0,-147.23448910639212,-4.530115328496826,481.00498416299746,154.88886755444813,188.9212492623454,0.0,146.96185487372458,189.89878562727182,0.0,1,1
22,2024-05-13 16:37:23.305154,0.06617717444896698,-0.2757568061351776,0.9593800902366638,151.51530967861112,177.44385875205097,0.0,69,149,190,151,-5.1484485,-6.3135896,0.84884906,534,318,172,107,0,-147.58190806608684,-4.846585583522826,480.894586853196,155.4788160189729,176.95509056958775,0.0,147.55180333824936,177.93262693451416,0.0,1,1
23,2024-05-13 16:37:23.418178,0.06617717444896698,-0.27090728282928467,0.9607013463973999,151.70174483408272,174.76482462327118,0.0,69,148,190,151,-5.2133937,-6.321208,0.7188828,534,318,172,107,0,-147.71952966749058,-4.894942868925122,480.8482420731515,155.6652511744445,174.276056440808,0.0,147.73823849372096,175.2535928057344,0.0,1,1
24,2024-05-13 16:37:23.535411,0.06413904577493668,-0.2688300311565399,0.9609686732292175,152.54955434062543,174.08260234972113,0.0,69,149,190,151,-5.345766,-5.9474125,0.96188426,534,318,172,107,0,-147.54235249957048,-4.517065156466229,480.9091275301865,156.51306068098722,173.5938341672579,0.0,148.58604800026365,174.57137053218432,0.0,1,1
